YEAR,EIA Plant Id,Plant Name,Plant State,Sector,Sector Name,North American Industiral Classification System (NAICS) Code,"Combined Heat And Power Status (Y = Chp, N= Non-Chp)",Reporting Frequency (Annual Or Monthly),Nameplate Capacity (MW),Annual capacity (actual/nameplate)
2012,49,Wheeler Dam,AL,1,Electric Utility,22,N,M,404,0.31
2012,50,Widows Creek,AL,1,Electric Utility,22,N,M,1265.6,0.40
2012,51,Dolet Hills,LA,1,Electric Utility,22,N,M,720.7,0.73
2012,53,Gantt,AL,1,Electric Utility,22,N,A,3,0.14
2012,54,J K Smith,KY,1,Electric Utility,22,N,M,1055,0.10
2012,55,Point A,AL,1,Electric Utility,22,N,A,5.2,0.23
2012,56,Charles R Lowman,AL,1,Electric Utility,22,N,M,538,0.40
2012,59,Platte,NE,1,Electric Utility,22,N,A,109.8,0.46
2012,60,Whelan Energy Center,NE,1,Electric Utility,22,N,M,324.3,0.48
2012,62,Annex Creek,AK,1,Electric Utility,22,N,A,4,0.63
2012,63,Gold Creek,AK,1,Electric Utility,22,N,A,9.7,0.05
2012,64,Lemon Creek,AK,1,Electric Utility,22,N,M,61.7,0.00
2012,65,Salmon Creek 1,AK,1,Electric Utility,22,N,A,8.5,0.38
2012,66,Skagway,AK,1,Electric Utility,22,N,A,4.4,0.09
2012,69,Haines,AK,1,Electric Utility,22,N,A,6.2,0.00
2012,70,Swan Lake,AK,1,Electric Utility,22,N,A,22.4,0.49
2012,71,Terror Lake,AK,1,Electric Utility,22,N,A,22.4,0.67
2012,72,Venice,CA,1,Electric Utility,22,N,A,10.1,0.08
2012,75,Anchorage 1,AK,1,Electric Utility,22,N,A,102.9,0.06
2012,77,Eklutna Hydro Project,AK,1,Electric Utility,22,N,M,44.4,0.18
2012,78,Snettisham,AK,1,Electric Utility,22,N,M,78.2,0.42
2012,79,Aurora Energy LLC Chena,AK,3,NAICS-22 Cogen,22,Y,A,27.5,0.84
2012,84,Ketchikan,AK,1,Electric Utility,22,N,A,4.2,0.66
2012,85,S W Bailey,AK,1,Electric Utility,22,N,A,25.9,0.00
2012,87,Escalante,NM,1,Electric Utility,22,N,M,257,0.50
2012,88,Ashokan,NY,1,Electric Utility,22,N,A,4.6,0.26
2012,90,Snake River,AK,1,Electric Utility,22,N,A,16.2,0.24
2012,91,Petersburg,AK,1,Electric Utility,22,N,A,14.8,0.11
2012,92,Seward,AK,1,Electric Utility,22,N,A,15.6,0.00
2012,93,Blue Lake,AK,1,Electric Utility,22,N,A,7,0.91
2012,95,Wrangell,AK,1,Electric Utility,22,N,A,8.5,0.01
2012,96,Beluga,AK,1,Electric Utility,22,N,M,374.4,0.61
2012,99,Frederickson,WA,1,Electric Utility,22,N,A,177.8,0.02
2012,100,South Consolidated,AZ,1,Electric Utility,22,N,A,1.4,0.11
2012,104,J S Eastwood,CA,1,Electric Utility,22,N,M,199.8,0.10
2012,108,Holcomb,KS,1,Electric Utility,22,N,M,348.7,0.64
2012,109,Dillingham,AK,1,Electric Utility,22,N,A,6.6,0.33
2012,113,Cholla,AZ,1,Electric Utility,22,N,M,1128.8,0.71
2012,114,Douglas,AZ,1,Electric Utility,22,N,A,26.1,0.00
2012,116,Ocotillo,AZ,1,Electric Utility,22,N,M,334,0.03
2012,117,West Phoenix,AZ,1,Electric Utility,22,N,M,1207.4,0.21
2012,118,Saguaro,AZ,1,Electric Utility,22,N,M,435.5,0.00
2012,120,Yucca,AZ,1,Electric Utility,22,N,M,425,0.07
2012,124,Demoss Petrie,AZ,1,Electric Utility,22,N,A,85,0.01
2012,126,H Wilson Sundt Generating Station,AZ,1,Electric Utility,22,N,M,558.5,0.16
2012,127,Oklaunion,TX,1,Electric Utility,22,N,M,720,0.49
2012,130,Cross,SC,1,Electric Utility,22,N,M,2390.1,0.62
2012,136,Seminole,FL,1,Electric Utility,22,N,M,1471.8,0.59
2012,141,Agua Fria,AZ,1,Electric Utility,22,N,M,613.5,0.01
2012,143,Crosscut,AZ,1,Electric Utility,22,N,A,3,0.07
2012,145,Horse Mesa,AZ,1,Electric Utility,22,N,M,129.5,0.09
2012,147,Kyrene,AZ,1,Electric Utility,22,N,M,573.7,0.23
2012,148,Mormon Flat,AZ,1,Electric Utility,22,N,M,63.5,0.06
2012,149,Roosevelt,AZ,1,Electric Utility,22,N,A,36,0.30
2012,150,Stewart Mountain,AZ,1,Electric Utility,22,N,A,13,0.36
2012,151,McClure,CA,1,Electric Utility,22,N,M,142.4,0.00
2012,152,Davis Dam,AZ,1,Electric Utility,22,N,M,254.8,0.51
2012,153,Glen Canyon Dam,AZ,1,Electric Utility,22,N,M,1312,0.32
2012,154,Hoover Dam,NV,1,Electric Utility,22,N,M,1039.4,0.26
2012,159,Lake Creek,UT,1,Electric Utility,22,N,A,1.5,0.26
2012,160,Apache Station,AZ,1,Electric Utility,22,N,M,660.7,0.28
2012,161,Turlock Lake,CA,1,Electric Utility,22,N,A,3.3,0.27
2012,162,Hickman,CA,1,Electric Utility,22,N,A,1,0.45
2012,165,GRDA,OK,1,Electric Utility,22,N,M,1134,0.51
2012,166,Carpenter,AR,1,Electric Utility,22,N,A,56,0.17
2012,167,Cecil Lynch,AR,1,Electric Utility,22,N,M,162,0.00
2012,169,Harvey Couch,AR,1,Electric Utility,22,N,M,156.2,0.00
2012,170,Lake Catherine,AR,1,Electric Utility,22,N,M,752,0.09
2012,171,Mabelvale,AR,1,Electric Utility,22,N,A,78,0.00
2012,172,Osceola,AR,1,Electric Utility,22,N,A,4.8,0.00
2012,173,Robert E Ritchie,AR,1,Electric Utility,22,N,M,544.6,0.00
2012,174,Remmel,AR,1,Electric Utility,22,N,A,9,0.34
2012,180,Volta 2,CA,1,Electric Utility,22,N,A,1,0.34
2012,182,Beaver,AR,1,Electric Utility,22,N,M,112,0.11
2012,187,Degray,AR,1,Electric Utility,22,N,M,68,0.08
2012,188,Greers Ferry Lake,AR,1,Electric Utility,22,N,M,96,0.19
2012,193,Municipal Light,AR,1,Electric Utility,22,N,A,7.2,0.00
2012,195,Narrows,AR,1,Electric Utility,22,N,A,17,0.19
2012,196,Norfork,AR,1,Electric Utility,22,N,M,80.4,0.22
2012,197,Blakely Mountain,AR,1,Electric Utility,22,N,A,75,0.20
2012,198,Bull Shoals,AR,1,Electric Utility,22,N,M,340,0.17
2012,199,Dardanelle,AR,1,Electric Utility,22,N,M,160.8,0.25
2012,201,Thomas Fitzhugh,AR,1,Electric Utility,22,N,M,185,0.07
2012,202,Carl Bailey,AR,1,Electric Utility,22,N,M,120,0.04
2012,203,McClellan,AR,1,Electric Utility,22,N,M,136,0.17
2012,204,Clinton Power Station,IL,2,NAICS-22 Non-Cogen,22,N,M,1138.3,0.94
2012,207,St Johns River Power Park,FL,1,Electric Utility,22,N,M,1358,0.52
2012,210,Wolf Creek Generating Station,KS,1,Electric Utility,22,N,M,1267.7,0.75
2012,214,Alta Powerhouse,CA,1,Electric Utility,22,N,A,1,0.43
2012,215,Angels,CA,1,Electric Utility,22,N,A,1.4,0.47
2012,217,Balch 1,CA,1,Electric Utility,22,N,A,31,0.39
2012,218,Balch 2,CA,1,Electric Utility,22,N,M,97.2,0.33
2012,219,Belden,CA,1,Electric Utility,22,N,M,117.9,0.20
2012,220,Bucks Creek,CA,1,Electric Utility,22,N,A,66,0.33
2012,221,Butt Valley,CA,1,Electric Utility,22,N,A,40,0.30
2012,222,Caribou 1,CA,1,Electric Utility,22,N,A,73.8,0.13
2012,223,Caribou 2,CA,1,Electric Utility,22,N,M,117.9,0.34
2012,225,Chili Bar,CA,1,Electric Utility,22,N,A,7,0.39
2012,226,Coal Canyon,CA,1,Electric Utility,22,N,A,1,0.00
2012,227,Coleman,CA,1,Electric Utility,22,N,A,12.1,0.46
2012,228,Contra Costa,CA,2,NAICS-22 Non-Cogen,22,N,M,718,0.02
2012,229,Cow Creek,CA,1,Electric Utility,22,N,A,1.4,0.34
2012,231,Cresta,CA,1,Electric Utility,22,N,A,73.8,0.34
2012,232,De Sabla,CA,1,Electric Utility,22,N,A,18.4,0.47
2012,233,Deer Creek,CA,1,Electric Utility,22,N,A,5.5,0.43
2012,235,Drum 1,CA,1,Electric Utility,22,N,A,49.2,0.08
2012,236,Drum 2,CA,1,Electric Utility,22,N,A,53.1,0.58
2012,237,Dutch Flat,CA,1,Electric Utility,22,N,A,22,0.54
2012,238,El Dorado,CA,1,Electric Utility,22,N,A,20,0.38
2012,239,Electra,CA,1,Electric Utility,22,N,M,102.5,0.38
2012,240,Haas,CA,1,Electric Utility,22,N,M,135,0.24
2012,241,Halsey,CA,1,Electric Utility,22,N,A,13.6,0.32
2012,242,Hamilton Branch,CA,1,Electric Utility,22,N,A,5.3,0.24
2012,243,Hat Creek 1,CA,1,Electric Utility,22,N,A,10,0.08
2012,244,Hat Creek 2,CA,1,Electric Utility,22,N,A,10,0.44
2012,246,Humboldt Bay,CA,1,Electric Utility,22,N,M,167,0.28
2012,248,Inskip,CA,1,Electric Utility,22,N,A,7.6,0.55
2012,249,James B Black,CA,1,Electric Utility,22,N,M,168.6,0.42
2012,250,Kerckhoff,CA,1,Electric Utility,22,N,A,22.6,0.00
2012,253,Kilarc,CA,1,Electric Utility,22,N,A,3,0.57
2012,254,Kings River,CA,1,Electric Utility,22,N,A,48.6,0.24
2012,255,Lime Saddle,CA,1,Electric Utility,22,N,A,2,0.25
2012,258,Merced Falls,CA,1,Electric Utility,22,N,A,3.4,0.34
2012,259,Dynegy Morro Bay LLC,CA,2,NAICS-22 Non-Cogen,22,N,M,718,0.03
2012,260,Dynegy Moss Landing Power Plant,CA,2,NAICS-22 Non-Cogen,22,N,M,2802,0.20
2012,261,Murphys,CA,1,Electric Utility,22,N,A,4.5,0.36
2012,262,Narrows,CA,1,Electric Utility,22,N,A,10.2,0.96
2012,264,Phoenix,CA,1,Electric Utility,22,N,A,1.6,0.60
2012,265,Pit 1,CA,1,Electric Utility,22,N,A,69.2,0.34
2012,266,Pit 3,CA,1,Electric Utility,22,N,M,80.1,0.36
2012,267,Pit 4,CA,1,Electric Utility,22,N,M,103.4,0.38
2012,268,Pit 5,CA,1,Electric Utility,22,N,M,141.6,0.40
2012,269,Pit 6,CA,1,Electric Utility,22,N,A,79.2,0.43
2012,270,Pit 7,CA,1,Electric Utility,22,N,M,109.8,0.43
2012,271,Pittsburg Power,CA,2,NAICS-22 Non-Cogen,22,N,M,1403.9,0.02
2012,272,Poe,CA,1,Electric Utility,22,N,M,142.8,0.34
2012,274,Potter Valley,CA,1,Electric Utility,22,N,A,9.4,0.26
2012,275,Rock Creek,CA,1,Electric Utility,22,N,M,124.6,0.17
2012,276,San Joaquin 2,CA,1,Electric Utility,22,N,A,2.8,0.16
2012,277,San Joaquin 3,CA,1,Electric Utility,22,N,A,4,0.15
2012,279,Salt Springs,CA,1,Electric Utility,22,N,A,42,0.40
2012,280,South,CA,1,Electric Utility,22,N,A,6.7,0.68
2012,281,Spaulding 1,CA,1,Electric Utility,22,N,A,7,0.55
2012,282,Spaulding 2,CA,1,Electric Utility,22,N,A,3.7,0.31
2012,283,Spaulding 3,CA,1,Electric Utility,22,N,A,6.6,0.47
2012,284,Spring Gap,CA,1,Electric Utility,22,N,A,6,0.39
2012,285,Stanislaus,CA,1,Electric Utility,22,N,M,81.9,0.34
2012,286,Geysers Unit 5-20,CA,2,NAICS-22 Non-Cogen,22,N,M,1163,0.47
2012,287,Tiger Creek,CA,1,Electric Utility,22,N,A,52.2,0.51
2012,289,Tule River,CA,1,Electric Utility,22,N,A,8.4,0.15
2012,290,Volta 1,CA,1,Electric Utility,22,N,A,8.5,0.44
2012,291,West Point,CA,1,Electric Utility,22,N,A,13.6,0.58
2012,292,Wise,CA,1,Electric Utility,22,N,A,16.4,0.32
2012,293,A G Wishon,CA,1,Electric Utility,22,N,A,12.8,0.32
2012,294,Copco 1,CA,1,Electric Utility,22,N,A,20,0.49
2012,295,Copco 2,CA,1,Electric Utility,22,N,A,27,0.46
2012,296,Fall Creek,CA,1,Electric Utility,22,N,A,2.1,0.57
2012,297,Iron Gate,CA,1,Electric Utility,22,N,A,18,0.64
2012,298,Limestone,TX,2,NAICS-22 Non-Cogen,22,N,M,1849.8,0.71
2012,299,Blundell,UT,1,Electric Utility,22,N,M,38.1,0.80
2012,301,El Cajon,CA,2,NAICS-22 Non-Cogen,22,N,A,18,0.02
2012,302,Encina,CA,2,NAICS-22 Non-Cogen,22,N,M,939.6,0.17
2012,303,Kearny,CA,2,NAICS-22 Non-Cogen,22,N,A,161.5,0.03
2012,305,Miramar,CA,2,NAICS-22 Non-Cogen,22,N,A,49,0.01
2012,313,Green Lake,AK,1,Electric Utility,22,N,A,18.6,0.36
2012,314,Drop 5,CA,1,Electric Utility,22,N,A,4,0.53
2012,315,AES Alamitos LLC,CA,2,NAICS-22 Non-Cogen,22,N,M,1922,0.09
2012,316,Sepulveda Canyon,CA,1,Electric Utility,22,N,A,8.5,0.42
2012,317,Big Creek 1,CA,1,Electric Utility,22,N,M,88.3,0.34
2012,318,Big Creek 2,CA,1,Electric Utility,22,N,A,66.4,0.42
2012,319,Big Creek 3,CA,1,Electric Utility,22,N,M,174.4,0.29
2012,320,Big Creek 4,CA,1,Electric Utility,22,N,M,100,0.28
2012,321,Big Creek 8,CA,1,Electric Utility,22,N,A,75,0.24
2012,322,Big Creek 2A,CA,1,Electric Utility,22,N,M,110,0.27
2012,323,Bishop Creek 2,CA,1,Electric Utility,22,N,A,7.3,0.46
2012,324,Bishop Creek 3,CA,1,Electric Utility,22,N,A,7.7,0.40
2012,325,Bishop Creek 4,CA,1,Electric Utility,22,N,A,7.7,0.56
2012,326,Bishop Creek 5,CA,1,Electric Utility,22,N,A,4.5,0.31
2012,327,Bishop Creek 6,CA,1,Electric Utility,22,N,A,1.6,0.75
2012,328,Borel,CA,1,Electric Utility,22,N,A,12,0.47
2012,329,Coolwater,CA,2,NAICS-22 Non-Cogen,22,N,M,727.3,0.08
2012,330,El Segundo Power,CA,2,NAICS-22 Non-Cogen,22,N,M,684,0.10
2012,331,Etiwanda Generating Station,CA,2,NAICS-22 Non-Cogen,22,N,M,666,0.04
2012,332,Fontana,CA,1,Electric Utility,22,N,A,2.8,0.21
2012,335,AES Huntington Beach LLC,CA,2,NAICS-22 Non-Cogen,22,N,M,436,0.31
2012,336,Kaweah 2,CA,1,Electric Utility,22,N,A,1.8,0.42
2012,337,Kaweah 1,CA,1,Electric Utility,22,N,A,2.2,0.39
2012,338,Kaweah 3,CA,1,Electric Utility,22,N,A,4.8,0.17
2012,339,Kern River 3,CA,1,Electric Utility,22,N,A,40.1,0.29
2012,340,Kern River 1,CA,1,Electric Utility,22,N,A,26,0.71
2012,341,Long Beach Generation LLC,CA,2,NAICS-22 Non-Cogen,22,N,M,252,0.05
2012,342,Lundy,CA,1,Electric Utility,22,N,A,3,0.08
2012,344,Mammoth Pool,CA,1,Electric Utility,22,N,M,190,0.17
2012,345,Mandalay,CA,2,NAICS-22 Non-Cogen,22,N,M,574,0.04
2012,350,Ormond Beach,CA,2,NAICS-22 Non-Cogen,22,N,M,1612,0.02
2012,353,Poole,CA,1,Electric Utility,22,N,A,11.2,0.08
2012,354,Portal,CA,1,Electric Utility,22,N,A,10.8,0.16
2012,356,AES Redondo Beach LLC,CA,2,NAICS-22 Non-Cogen,22,N,M,1316.4,0.05
2012,357,Rush Creek,CA,1,Electric Utility,22,N,A,13,0.16
2012,358,Mountainview Generating Station,CA,1,Electric Utility,22,N,M,1036.8,0.72
2012,360,San Onofre Nuclear Generating Station,CA,1,Electric Utility,22,N,M,1127,0.08
2012,361,Santa Ana 1,CA,1,Electric Utility,22,N,A,3.2,0.04
2012,363,Santa Ana 3,CA,1,Electric Utility,22,N,A,3.1,0.19
2012,365,Tule River,CA,1,Electric Utility,22,N,A,2.4,0.53
2012,371,Columbia Generating Station,WA,1,Electric Utility,22,N,M,1200,0.89
2012,376,Pardee,CA,1,Electric Utility,22,N,A,23.6,0.33
2012,377,Grayson,CA,1,Electric Utility,22,N,M,300.9,0.07
2012,380,Dion R Holm,CA,1,Electric Utility,22,N,M,156.8,0.30
2012,381,Moccasin,CA,1,Electric Utility,22,N,M,100,0.36
2012,382,R C Kirkwood,CA,1,Electric Utility,22,N,M,115.5,0.39
2012,384,Joliet 29,IL,2,NAICS-22 Non-Cogen,22,N,M,1320,0.44
2012,385,Drop 2,CA,1,Electric Utility,22,N,A,10,0.59
2012,386,Drop 3,CA,1,Electric Utility,22,N,A,9.8,0.59
2012,387,Drop 4,CA,1,Electric Utility,22,N,A,19.6,0.64
2012,388,Pilot Knob,CA,1,Electric Utility,22,N,A,33,0.10
2012,389,El Centro,CA,1,Electric Utility,22,N,M,358.3,0.29
2012,390,Solomon Gulch,AK,1,Electric Utility,22,N,A,12,0.42
2012,391,Big Pine,CA,1,Electric Utility,22,N,A,3.2,0.18
2012,392,Castaic,CA,1,Electric Utility,22,N,M,1331,0.04
2012,393,Control Gorge,CA,1,Electric Utility,22,N,A,37.5,0.16
2012,394,Cottonwood,CA,1,Electric Utility,22,N,A,1.6,0.23
2012,396,Foothill,CA,1,Electric Utility,22,N,A,11,0.41
2012,397,Franklin,CA,1,Electric Utility,22,N,A,2,0.42
2012,398,Haiwee,CA,1,Electric Utility,22,N,A,5.6,0.20
2012,399,Harbor,CA,1,Electric Utility,22,N,M,548.1,0.02
2012,400,Haynes,CA,1,Electric Utility,22,N,M,1775.9,0.20
2012,401,Middle Gorge,CA,1,Electric Utility,22,N,A,37.5,0.24
2012,402,Pleasant Valley,CA,1,Electric Utility,22,N,A,3.2,0.24
2012,403,San Fernando,CA,1,Electric Utility,22,N,A,5.6,0.16
2012,404,Scattergood,CA,1,Electric Utility,22,N,M,823.2,0.15
2012,406,Tok,AK,1,Electric Utility,22,N,A,7.1,0.16
2012,407,Upper Gorge,CA,1,Electric Utility,22,N,A,37.5,0.26
2012,408,Valley,CA,1,Electric Utility,22,N,M,690.5,0.53
2012,409,Exchequer,CA,2,NAICS-22 Non-Cogen,22,N,M,94.5,0.25
2012,410,McSwain,CA,2,NAICS-22 Non-Cogen,22,N,A,9,0.32
2012,412,Chicago Park,CA,2,NAICS-22 Non-Cogen,22,N,A,44,0.32
2012,413,Dutch Flat 2,CA,2,NAICS-22 Non-Cogen,22,N,A,27.3,0.19
2012,414,Beardsley,CA,2,NAICS-22 Non-Cogen,22,N,A,10,0.38
2012,415,Donnells,CA,2,NAICS-22 Non-Cogen,22,N,A,72,0.32
2012,416,Tulloch,CA,2,NAICS-22 Non-Cogen,22,N,A,24.2,0.54
2012,417,Forbestown,CA,1,Electric Utility,22,N,A,41.9,0.35
2012,418,Kelly Ridge,CA,1,Electric Utility,22,N,A,10,0.72
2012,419,Woodleaf,CA,1,Electric Utility,22,N,A,59,0.39
2012,420,Broadway,CA,1,Electric Utility,22,N,A,75,0.20
2012,421,Craig,AK,1,Electric Utility,22,N,A,4.4,0.04
2012,422,Glenarm,CA,1,Electric Utility,22,N,A,178.6,0.06
2012,423,Hydaburg,AK,1,Electric Utility,22,N,A,1,0.00
2012,424,French Meadows,CA,1,Electric Utility,22,N,A,15.3,0.35
2012,425,Middle Fork,CA,1,Electric Utility,22,N,M,116.1,0.44
2012,426,Oxbow,CA,1,Electric Utility,22,N,A,6.1,0.49
2012,427,Ralston,CA,1,Electric Utility,22,N,A,79.2,0.48
2012,428,Parker,CA,2,NAICS-22 Non-Cogen,22,N,A,2.7,0.28
2012,430,Camino,CA,1,Electric Utility,22,N,M,157.8,0.21
2012,431,Jaybird,CA,1,Electric Utility,22,N,M,161.6,0.32
2012,432,Loon Lake,CA,1,Electric Utility,22,N,M,74.1,0.14
2012,433,Robbs Peak,CA,1,Electric Utility,22,N,A,25.5,0.20
2012,435,White Rock/Slab Creek,CA,1,Electric Utility,22,N,M,266,0.18
2012,436,Devil Canyon,CA,1,Electric Utility,22,N,M,276.2,0.39
2012,437,Edward C Hyatt,CA,1,Electric Utility,22,N,M,644.1,0.25
2012,438,Thermalito,CA,1,Electric Utility,22,N,M,115.1,0.19
2012,439,Don Pedro,CA,1,Electric Utility,22,N,M,170.8,0.20
2012,440,La Grange,CA,1,Electric Utility,22,N,A,4.5,0.38
2012,441,Folsom,CA,1,Electric Utility,22,N,M,198.6,0.27
2012,442,Judge F Carr,CA,1,Electric Utility,22,N,M,154.4,0.25
2012,443,Keswick,CA,1,Electric Utility,22,N,M,117,0.36
2012,444,Nimbus,CA,1,Electric Utility,22,N,A,13.4,0.48
2012,445,Shasta,CA,1,Electric Utility,22,N,M,714,0.29
2012,446,ONeill,CA,1,Electric Utility,22,N,M,25.2,0.02
2012,447,Parker Dam,CA,1,Electric Utility,22,N,M,120,0.44
2012,448,W R Gianelli,CA,1,Electric Utility,22,N,M,424,0.02
2012,450,Spring Creek,CA,1,Electric Utility,22,N,M,180,0.21
2012,451,Trinity,CA,1,Electric Utility,22,N,M,140,0.35
2012,454,Colgate,CA,1,Electric Utility,22,N,M,315,0.40
2012,455,Narrows 2,CA,1,Electric Utility,22,N,A,46.7,0.38
2012,457,Bear Valley,CA,1,Electric Utility,22,N,A,1.4,0.22
2012,460,Pueblo,CO,1,Electric Utility,22,N,A,32.5,0.00
2012,462,W N Clark,CO,1,Electric Utility,22,N,A,43.7,0.58
2012,464,Alamosa,CO,1,Electric Utility,22,N,A,53.2,0.01
2012,465,Arapahoe,CO,1,Electric Utility,22,N,M,152.5,0.59
2012,466,Boulder Canyon Hydro,CO,2,NAICS-22 Non-Cogen,22,N,A,10,0.00
2012,467,Cabin Creek,CO,1,Electric Utility,22,N,M,300,-0.06
2012,469,Cherokee,CO,1,Electric Utility,22,N,M,551.3,0.62
2012,470,Comanche,CO,1,Electric Utility,22,N,M,1635.3,0.64
2012,471,Fruita,CO,1,Electric Utility,22,N,A,26.6,0.00
2012,472,Georgetown,CO,1,Electric Utility,22,N,A,1.2,0.23
2012,473,Grand Valley Project Power Plant,CO,1,Electric Utility,22,N,A,3,0.30
2012,474,Salida,CO,1,Electric Utility,22,N,A,1.4,0.12
2012,476,Shoshone,CO,1,Electric Utility,22,N,A,14.4,0.48
2012,477,Valmont,CO,1,Electric Utility,22,N,M,251,0.46
2012,478,Zuni,CO,1,Electric Utility,22,N,M,75,0.00
2012,479,Temescal,CA,1,Electric Utility,22,N,A,2.9,0.67
2012,480,Corona,CA,1,Electric Utility,22,N,A,2.9,0.65
2012,481,Perris,CA,1,Electric Utility,22,N,A,7.9,0.07
2012,482,Rio Hondo,CA,1,Electric Utility,22,N,A,1.9,0.22
2012,483,Coyote Creek,CA,1,Electric Utility,22,N,A,3.1,0.13
2012,484,Red Mountain,CA,1,Electric Utility,22,N,A,5.9,0.50
2012,487,Valley View,CA,1,Electric Utility,22,N,A,4.1,0.27
2012,489,Upper Dawson,CA,1,Electric Utility,22,N,A,4.4,0.26
2012,490,Burlington City of,CO,1,Electric Utility,22,N,A,7.5,0.00
2012,491,Center,CO,1,Electric Utility,22,N,A,1.5,0.00
2012,492,Martin Drake,CO,1,Electric Utility,22,N,M,257,0.63
2012,493,George Birdsall,CO,1,Electric Utility,22,N,A,59.6,0.02
2012,494,Manitou Springs,CO,1,Electric Utility,22,N,A,6,0.31
2012,495,Ruxton Park,CO,1,Electric Utility,22,N,A,1.2,0.04
2012,496,Delta,CO,1,Electric Utility,22,N,A,4.8,0.01
2012,502,Holly,CO,1,Electric Utility,22,N,A,2.9,0.00
2012,504,Julesburg,CO,1,Electric Utility,22,N,A,3.7,0.00
2012,505,Boysen,WY,1,Electric Utility,22,N,M,15,0.29
2012,506,La Junta,CO,1,Electric Utility,22,N,A,17.2,-0.01
2012,507,Las Animas,CO,1,Electric Utility,22,N,A,5.6,0.00
2012,508,Lamar Plant,CO,1,Electric Utility,22,N,A,6,0.25
2012,510,Sonoma California Geothermal,CA,2,NAICS-22 Non-Cogen,22,N,M,78,0.47
2012,511,Trinidad,CO,1,Electric Utility,22,N,A,9.2,0.00
2012,512,Blue Mesa,CO,1,Electric Utility,22,N,A,86.4,0.23
2012,513,Estes,CO,1,Electric Utility,22,N,M,45,0.33
2012,514,Morrow Point,CO,1,Electric Utility,22,N,A,173.2,0.15
2012,515,Big Thompson,CO,1,Electric Utility,22,N,M,4.5,0.12
2012,516,Green Mountain,CO,1,Electric Utility,22,N,M,26,0.16
2012,517,Marys Lake,CO,1,Electric Utility,22,N,M,8.1,0.70
2012,518,Flatiron,CO,1,Electric Utility,22,N,M,98.5,0.26
2012,519,Pole Hill,CO,1,Electric Utility,22,N,M,38.2,0.59
2012,520,Lower Molina,CO,1,Electric Utility,22,N,A,4.8,0.27
2012,521,Upper Molina,CO,1,Electric Utility,22,N,A,8.6,0.25
2012,525,Hayden,CO,1,Electric Utility,22,N,M,438.6,0.64
2012,527,Nucla,CO,1,Electric Utility,22,N,M,113.8,0.55
2012,529,Rancho Seco Solar,CA,1,Electric Utility,22,N,M,2,0.01
2012,531,Camp Far West,CA,1,Electric Utility,22,N,A,7.2,0.35
2012,533,McWilliams,AL,1,Electric Utility,22,N,M,654,0.56
2012,534,Jones Fork,CA,1,Electric Utility,22,N,A,10,0.21
2012,535,McClellan,CA,1,Electric Utility,22,N,A,77,0.01
2012,537,Camanche,CA,1,Electric Utility,22,N,A,10.8,0.16
2012,539,Rocky River,CT,2,NAICS-22 Non-Cogen,22,N,M,31,0.01
2012,540,Branford,CT,2,NAICS-22 Non-Cogen,22,N,A,21.8,0.00
2012,541,Bulls Bridge,CT,2,NAICS-22 Non-Cogen,22,N,A,7.2,0.47
